,residuos,residuos_especiales,agua,energia,conciencia,label
0,0.0,0.0,0.5,0.0,0.0,2
1,0.0,0.5,0.5,0.0,0.5,2
2,0.5,0.0,0.5,0.0,1.0,2
3,0.0,0.5,0.5,0.0,0.5,2
4,1.0,0.5,0.5,1.0,1.0,1
5,0.0,0.0,0.5,0.0,0.0,2
6,0.5,0.0,0.5,1.0,0.0,1
7,0.0,0.0,1.0,0.5,0.0,0
8,0.0,0.5,0.5,0.0,0.5,2
9,1.0,0.5,1.0,0.5,1.0,0
10,0.0,0.5,0.0,0.0,0.0,2
11,1.0,0.0,1.0,1.0,0.0,0
12,0.5,0.5,1.0,1.0,1.0,0
13,0.0,0.0,0.0,1.0,0.5,1
14,1.0,0.0,0.5,1.0,0.0,1
15,0.5,0.5,0.5,0.0,1.0,2
16,1.0,0.0,1.0,1.0,0.5,0
17,0.5,0.0,1.0,0.5,1.0,0
18,0.0,0.5,0.0,1.0,0.5,1
19,0.0,0.5,0.0,0.0,1.0,2
20,0.5,0.0,0.0,0.0,1.0,2
21,0.0,0.0,0.5,0.0,0.5,2
22,1.0,0.5,1.0,0.0,1.0,0
23,0.0,0.0,1.0,0.0,1.0,0
24,0.0,0.0,1.0,0.5,1.0,0
25,0.0,0.5,0.5,0.0,1.0,2
26,0.0,0.5,1.0,0.0,1.0,0
27,1.0,0.5,1.0,0.0,1.0,0
28,0.0,0.5,0.0,0.0,0.0,2
29,0.0,0.5,0.0,0.0,0.0,2
30,0.0,0.0,1.0,1.0,0.5,0
31,0.0,0.5,1.0,0.0,1.0,0
32,0.5,0.0,1.0,1.0,1.0,0
33,0.0,0.5,0.5,0.0,1.0,2
34,1.0,0.0,0.0,0.5,1.0,1
35,1.0,0.0,0.0,0.0,1.0,2
36,0.0,0.0,1.0,0.0,1.0,0
37,0.0,0.5,0.5,0.5,0.0,2
38,0.0,0.5,0.0,0.5,0.5,2
39,0.5,0.0,0.0,0.5,1.0,1
40,0.0,0.0,1.0,0.5,0.5,0
41,0.0,0.0,1.0,0.0,1.0,0
42,0.0,0.0,1.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,2
44,0.5,0.5,0.0,0.5,1.0,1
45,1.0,0.0,0.0,1.0,0.5,1
46,0.0,0.5,0.0,0.5,0.5,2
47,1.0,0.0,0.5,1.0,0.5,1
