Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
0,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.0,2
1,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,0.5,2
2,urbana,10150,CUENCA,0.5,0.0,0.5,0.0,1.0,2
3,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,0.5,2
4,urbana,10150,CUENCA,1.0,0.5,0.5,1.0,1.0,1
5,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.0,2
6,urbana,10150,CUENCA,0.5,0.0,0.5,1.0,0.0,1
7,urbana,10150,CUENCA,0.0,0.0,1.0,0.5,0.0,0
8,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,0.5,2
9,urbana,10150,CUENCA,1.0,0.5,1.0,0.5,1.0,0
10,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.0,2
11,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,0.0,0
12,urbana,10150,CUENCA,0.5,0.5,1.0,1.0,1.0,0
13,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,0.5,1
14,urbana,10150,CUENCA,1.0,0.0,0.5,1.0,0.0,1
15,urbana,10150,CUENCA,0.5,0.5,0.5,0.0,1.0,2
16,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,0.5,0
17,urbana,10150,CUENCA,0.5,0.0,1.0,0.5,1.0,0
18,urbana,10150,CUENCA,0.0,0.5,0.0,1.0,0.5,1
19,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
20,urbana,10150,CUENCA,0.5,0.0,0.0,0.0,1.0,2
21,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.5,2
22,urbana,10150,CUENCA,1.0,0.5,1.0,0.0,1.0,0
23,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,1.0,0
24,urbana,10150,CUENCA,0.0,0.0,1.0,0.5,1.0,0
25,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,1.0,2
26,urbana,10150,CUENCA,0.0,0.5,1.0,0.0,1.0,0
27,urbana,10150,CUENCA,1.0,0.5,1.0,0.0,1.0,0
28,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.0,2
29,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.0,2
30,urbana,10150,CUENCA,0.0,0.0,1.0,1.0,0.5,0
31,urbana,10150,CUENCA,0.0,0.5,1.0,0.0,1.0,0
32,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,1.0,0
33,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,1.0,2
34,urbana,10150,CUENCA,1.0,0.0,0.0,0.5,1.0,1
35,urbana,10150,CUENCA,1.0,0.0,0.0,0.0,1.0,2
36,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,1.0,0
37,urbana,10150,CUENCA,0.0,0.5,0.5,0.5,0.0,2
38,urbana,10150,CUENCA,0.0,0.5,0.0,0.5,0.5,2
39,urbana,10150,CUENCA,0.5,0.0,0.0,0.5,1.0,1
40,urbana,10150,CUENCA,0.0,0.0,1.0,0.5,0.5,0
41,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,1.0,0
42,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,0.0,0
43,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.0,2
44,urbana,10150,CUENCA,0.5,0.5,0.0,0.5,1.0,1
