indice,residuos,residuos_especiales,agua,energia,conciencia
0,0,0,0.5,0,0
1,0,0.5,0.5,0,0.5
2,0.5,0,0.5,0,1
3,0,0.5,0.5,0,0.5
4,1,0.5,0.5,1,1
5,0,0,0.5,0,0
6,0.5,0,0.5,1,0
7,0,0,1,0.5,0
8,0,0.5,0.5,0,0.5
9,1,0.5,1,0.5,1
10,0,0.5,0,0,0
11,1,0,1,1,0
12,0.5,0.5,1,1,1
13,0,0,0,1,0.5
14,1,0,0.5,1,0
15,0.5,0.5,0.5,0,1
16,1,0,1,1,0.5
17,0.5,0,1,0.5,1
18,0,0.5,0,1,0.5
19,0,0.5,0,0,1
20,0.5,0,0,0,1
21,0,0,0.5,0,0.5
22,1,0.5,1,0,1
23,0,0,1,0,1
24,0,0,1,0.5,1
25,0,0.5,0.5,0,1
26,0,0.5,1,0,1
27,1,0.5,1,0,1
28,0,0.5,0,0,0
29,0,0.5,0,0,0
30,0,0,1,1,0.5
31,0,0.5,1,0,1
32,0.5,0,1,1,1
33,0,0.5,0.5,0,1
34,1,0,0,0.5,1
35,1,0,0,0,1
36,0,0,1,0,1
37,0,0.5,0.5,0.5,0
38,0,0.5,0,0.5,0.5
39,0.5,0,0,0.5,1
40,0,0,1,0.5,0.5
41,0,0,1,0,1
42,0,0,1,0,0
43,0,0,0,0,0
44,0.5,0.5,0,0.5,1
45,1,0,0,1,0.5
46,0,0.5,0,0.5,0.5
47,1,0,0.5,1,0.5
48,1,0.5,0.5,1,0.5
49,1,0,0,1,1
50,1,0,0,0.5,1
51,1,0.5,1,1,1
52,1,1,0,0.5,0.5
53,1,0,0.5,0,0.5
54,1,0.5,0,0,1
55,1,0.5,0,0,1
56,1,0,0.5,1,0.5
57,1,0.5,0.5,0,0
58,1,0.5,0.5,1,0.5
59,1,0.5,0.5,0.5,0.5
60,0.5,0.5,0,0.5,0.5
61,0,0,0,0,0.5
62,0.5,0.5,1,0,1
63,0,0.5,0.5,1,0.5
64,1,0,1,0,1
65,0,0,1,1,1
66,0.5,0,1,0,0.5
67,0,0,0,0,1
68,0.5,0,1,1,1
69,1,0,0.5,0,0.5
70,1,0,1,1,1
71,1,0.5,0,1,1
72,0,0.5,1,0.5,1
73,1,1,0,0,1
74,1,1,1,1,1
75,0,0.5,1,0,1
76,0,0.5,1,1,1
77,0,1,1,0,1
78,0,1,0.5,1,1
79,0,0.5,0.5,0,1
80,0,0.5,1,1,1
81,0,0.5,0,0.5,1
82,1,0.5,1,1,1
83,0.5,0.5,1,0,1
84,1,0,0,1,0.5
85,1,0,0,1,1
86,1,0,1,1,1
87,1,0,1,1,1
88,0,0,0,0,1
89,1,0,0.5,1,1
90,1,0.5,1,0.5,1
91,0.5,0,1,0.5,0.5
92,1,0.5,1,0.5,0
93,1,0.5,1,1,1
94,0.5,0,0,1,0
95,0.5,0.5,0.5,0,0.5
96,1,1,1,0.5,0.5
97,1,0.5,0.5,0.5,0
98,0,0.5,1,0,0.5
99,1,0,1,0.5,0.5
100,0.5,0,0.5,0,1
101,0.5,0,0,0,1
102,0.5,0.5,0,0,0.5
103,0,1,0.5,0,0.5
104,0,0,0.5,1,1
105,0.5,0.5,0.5,1,1
106,1,0,0.5,1,1
107,1,0,0.5,1,1
108,0,0.5,0.5,0,1
109,0.5,0,0.5,1,1
110,0,0.5,1,0.5,0.5
111,0,0,1,0,0.5
112,0,0,0,0,0.5
113,1,0,1,1,1
114,0.5,0,0,0,1
115,0,0,0,0,1
116,0,1,1,0.5,0
117,0,0,0,1,0
118,0.5,1,1,1,0
119,0,0.5,0,0,0.5
120,0.5,0,1,1,1
121,0.5,0,1,0,0
122,0.5,0,0,0,1
123,1,0,0.5,0,1
124,0,0.5,0,0,0
125,1,0.5,0,0.5,0.5
126,1,0,0,0,1
127,1,0,0,1,0.5
128,0,0.5,0,0,1
129,1,0.5,1,1,0.5
130,0,0.5,0,0,1
131,0,0.5,0,0.5,1
132,0,0,1,0,0.5
133,0,0,1,0,0.5
134,0,0,0,0,0.5
135,0,0,0,1,0.5
136,0,1,0.5,0,0.5
137,0,0,0.5,0,0.5
138,0,0,1,1,1
139,0,0,0,0,0.5
140,0,0.5,1,0,0.5
141,0,0,0,0,0.5
142,0,0,0.5,0,0.5
143,0,0.5,0.5,0,0.5
144,0,0,0,0,0.5
145,0,0.5,0,0,1
146,0,0.5,0,0,1
147,0,0.5,0,0,1
148,0,0.5,0,0,0.5
149,0,0,0,0,0.5
150,0,0.5,0,0,1
151,0.5,0,1,1,1
152,0.5,0,1,1,0
153,1,0,1,1,1
154,1,0,1,0,0.5
155,1,0,1,1,1
156,1,0,0.5,0.5,0.5
157,1,0.5,1,1,0
158,1,0,0,1,1
159,1,0.5,1,0,0
160,1,0,0,0.5,0.5
161,1,0.5,1,0,1
162,0,0,0,0,1
163,1,0.5,0,1,1
164,0.5,0,1,1,0.5
165,0.5,0,0,0,0.5
166,0,0.5,1,0.5,0
167,0.5,0,0.5,0,1
168,0.5,0,0,1,1
169,0.5,0,0.5,1,0.5
170,0,0,1,1,0.5
171,1,0,0,0,0.5
172,0.5,0,1,1,0.5
173,1,0.5,0.5,0,0.5
174,0.5,0.5,0,0.5,0.5
175,1,0,0.5,0.5,1
176,1,0,1,0,0.5
177,0.5,0.5,1,1,0.5
178,1,0.5,0.5,1,1
179,0,0,1,0,0.5
180,0,0.5,0.5,0.5,1
181,0,0,0.5,1,0.5
182,1,0.5,0,0.5,1
183,0,0,0,0.5,1
184,0,0,0,0.5,1
185,0,0,0,0.5,1
186,0.5,0.5,1,0,1
187,1,0.5,0,0.5,0
188,1,1,1,1,0.5
189,1,0.5,0.5,0.5,0
190,1,0.5,0.5,0.5,0
191,0,0.5,0,1,1
192,1,0.5,1,0,0.5
193,1,0.5,0.5,1,0
194,0.5,0,1,0.5,0.5
195,0,0,1,1,0.5
196,1,0,0,1,1
197,0,0,0,0.5,0
198,0.5,0,0,1,0.5
199,0,0,1,1,0
200,0,0,1,0.5,0
201,0,0,0.5,0,0.5
202,1,0,0.5,1,1
203,0,0,0.5,0,0.5
204,1,0.5,0,0,1
205,1,0.5,0,0.5,0.5
206,1,0,0.5,0,0.5
207,0,0,0,1,1
208,0,0.5,0,0,1
209,0,0,1,0,1
210,0,0,0.5,1,1
211,0,0,0.5,0,1
212,1,0.5,1,0.5,1
213,0.5,0.5,0.5,0,1
214,0,0,0,1,0.5
215,1,0,0,0.5,1
216,0,0,1,0.5,1
217,0,0,0,1,1
218,0,0,0.5,1,1
219,0,0,0,1,1
220,1,0,0.5,0.5,1
221,0.5,0,0.5,0.5,0.5
222,0,1,0,0,1
223,1,0.5,0.5,1,0.5
224,1,0.5,0.5,0.5,0.5
225,1,0,1,0,0.5
226,1,0,0.5,0,0.5
227,0.5,0.5,0.5,0.5,1
228,1,1,0,1,1
229,0,0.5,0,1,1
230,1,0.5,0,0,0.5
231,1,0,0.5,0.5,1
232,1,1,0.5,0,0
233,1,0.5,0,1,1
234,0,0.5,0,1,1
235,1,0.5,0,1,0
236,1,0,0,1,0
237,1,0,1,1,0
238,1,1,0,1,1
239,1,0.5,0,1,0.5
240,0.5,0.5,1,1,0.5
241,0,0,1,0,1
242,0,0.5,0,0.5,0
243,0,0.5,1,0,1
244,1,0,0.5,0.5,0.5
245,0.5,0.5,1,0.5,0
246,0,0.5,0,0.5,1
247,0,0,0.5,0,1
248,0.5,0,0.5,1,1
249,1,0,0.5,1,1
250,0,0.5,0.5,0,1
251,1,0,0.5,1,1
252,0,0,0.5,0,0.5
253,0,0.5,0.5,0.5,1
254,0,0.5,0.5,1,0.5
255,1,0.5,1,0,1
256,0.5,0,0,1,0.5
257,1,0.5,1,0,0.5
258,0,0,0,1,0
259,1,0.5,1,1,1
260,0,0,0.5,0,0.5
261,0.5,0.5,0,1,1
262,1,0,1,1,0.5
263,0.5,0.5,1,0,0.5
264,1,0,1,0.5,0.5
265,0.5,0.5,0,0,1
266,0,0,0.5,1,1
267,1,0.5,0.5,0.5,1
268,1,0.5,1,0,1
269,0.5,0,0.5,1,1
270,0,0,0.5,0,0.5
271,1,0,1,0.5,1
272,1,0,0,0.5,1
273,1,0.5,0,0,1
274,1,0,0.5,1,0.5
275,1,0,0,0.5,0
276,0.5,0.5,0.5,1,0.5
277,0,0,0.5,0,1
278,1,0,1,0.5,1
279,0.5,0.5,0.5,1,0.5
280,0.5,1,1,1,0.5
281,0,0.5,1,1,0
282,0.5,0.5,0,1,0
283,0.5,0.5,0,0,0.5
284,0.5,0,1,1,1
285,1,0,1,1,0.5
286,0.5,0,0.5,0,1
287,0.5,0.5,0,1,0
288,0,1,0.5,0.5,0
289,1,0,1,0.5,0.5
290,1,0.5,0,0.5,0
291,0,0,1,0,0
292,1,0,0,1,0
293,1,0,1,1,0
294,1,0.5,1,0.5,0
295,1,0,0.5,1,0
296,0,0,0,0.5,1
297,0.5,0.5,0,1,1
298,0,0,1,0,0.5
299,0.5,0,0,0.5,0.5
300,0,0.5,0.5,0,0.5
301,1,0,1,1,0
302,0,0,1,0,0
303,1,0,1,0.5,1
304,0.5,0.5,0,0.5,1
305,0.5,0,0.5,1,1
306,0,0,1,0,0.5
307,0.5,0,0,0,0
308,1,0,1,0,0.5
309,0.5,0.5,0,0,0.5
310,1,0.5,0,1,0.5
311,0.5,0.5,1,0.5,1
312,0,0,0.5,0,1
313,0.5,0,0.5,1,1
314,0,0,0,0,1
315,0.5,0,0,1,1
316,0,0,1,0.5,1
317,0.5,0,0.5,0,0.5
318,0.5,0.5,0,1,0.5
319,0.5,0,0,1,0.5
320,0.5,0,0,1,1
321,1,0,1,0.5,0.5
322,0.5,0,1,0,0.5
323,0,0,0,1,1
324,0.5,0,0,0,0.5
325,0.5,0.5,0,1,0.5
326,0,0,0.5,0,0
327,0.5,0,0,0.5,0.5
328,0.5,0,0,0.5,1
329,0.5,0.5,0.5,1,1
330,0.5,0.5,0.5,0.5,0.5
331,1,1,0.5,0,0
332,1,0.5,0,1,1
333,1,0,0.5,0,0.5
334,1,0,1,0,0.5
335,1,0,0.5,1,1
336,0,0.5,0.5,1,1
337,0.5,0,0,0,0.5
338,1,0.5,0.5,0,0.5
339,0.5,1,0,1,0.5
340,1,0.5,0,0.5,0
341,1,0.5,0,1,1
342,1,0.5,0.5,1,0.5
343,1,0.5,0.5,1,1
344,0,0,1,0.5,1
345,1,0,1,0,1
346,1,0,0.5,0.5,1
347,0,0,1,1,0
348,1,0.5,0.5,1,1
349,0,0,1,1,1
350,0.5,0,0.5,0,0
351,0.5,1,0,1,0.5
352,1,0.5,0,0,1
353,0,0.5,1,1,0
354,0.5,0.5,0,0,0
355,0,0.5,0,0,0
356,0,0,0.5,1,0
357,0,1,0.5,1,0.5
358,0,0.5,0,0,0
359,0,1,0.5,0,0.5
360,1,0.5,0.5,0,0
361,0,0,0,0,0
362,1,0,0,0,1
363,0,0,1,1,1
364,0.5,0,0.5,0,1
365,1,0,1,0,1
366,1,0,0,0,1
367,0,1,0,0,0.5
368,0,0.5,1,0.5,0.5
369,0.5,0,1,1,1
370,1,0.5,0,0.5,1
371,1,0,1,1,1
372,0,0.5,1,0.5,1
373,0,0.5,0,1,0.5
374,1,1,0,1,1
375,1,0.5,0,1,1
376,0,0,0,0,1
377,1,0,1,0,1
378,0,0.5,0.5,0,1
379,0,0.5,0,1,0
380,0,1,1,1,1
381,0,0.5,1,1,1
382,0,0.5,1,1,0
383,1,1,1,1,1
384,1,1,1,1,1
385,1,0.5,0,0,1
386,1,1,0.5,0.5,0.5
387,0.5,0.5,1,0,0.5
388,1,1,0.5,1,1
389,1,0.5,0,0.5,0
390,0.5,0.5,0.5,1,1
391,0,0.5,0.5,0,1
392,1,1,0,1,1
393,0,0,0,0,0
394,1,0.5,1,1,1
395,1,1,0,1,0.5
396,1,1,0.5,0,0.5
397,1,0.5,0,1,1
398,1,0,0.5,0.5,1
399,1,0.5,0.5,0,0.5
400,1,1,0.5,0,1
401,1,0,0.5,0,0.5
402,1,0,0.5,1,0.5
403,0,0,0.5,0.5,0.5
404,1,0.5,0.5,0,1
405,0.5,0.5,0.5,1,0.5
406,0,0.5,0.5,0,0.5
407,1,0.5,0.5,0,1
408,1,0,1,0,1
409,1,0.5,0.5,0,0.5
410,0.5,0,1,1,1
411,0,0,1,1,1
412,1,0,0,0,1
413,0.5,0,0,1,1
414,1,0,0,0,1
415,1,0,0,0,1
416,1,0.5,0.5,1,1
417,0.5,0.5,0,1,1
418,0.5,0,1,0.5,1
419,1,0.5,0,1,1
420,0,0,1,1,1
421,1,0,1,1,1
422,1,0.5,0.5,1,1
423,0,0.5,1,0,0.5
424,1,0,0.5,0.5,1
425,0,0,0,1,0
426,0.5,0,0,1,1
427,0,0,1,0,0.5
428,1,0.5,0,1,0.5
429,0.5,0,1,1,1
430,0.5,0.5,0,0.5,0
431,0,0,0,0,0
432,0.5,0.5,0.5,0.5,1
433,1,0,0.5,0.5,0.5
434,1,0.5,1,1,1
435,1,0,0,0.5,1
436,1,0.5,0,0.5,1
437,1,0.5,1,0.5,1
438,1,0.5,1,0,1
439,1,0,0,1,1
440,0.5,0,1,1,1
441,1,0.5,1,1,1
442,1,0,0.5,0,1
443,0.5,0.5,1,0.5,1
444,1,0,0,0,1
445,0.5,0,1,0.5,1
446,0,0,1,0,1
447,1,0.5,0,0.5,0
448,0,0,0,1,1
449,0.5,0,0,1,1
450,1,0.5,0,0.5,0
451,0,0.5,0,1,0.5
452,1,1,0.5,1,0
453,1,0.5,0.5,0.5,1
454,1,0,0.5,1,0.5
455,0.5,0,1,0.5,0
456,0.5,0,0,0.5,0.5
457,1,0.5,1,0.5,1
458,0,0,0.5,1,1
459,1,0.5,1,1,1
460,0.5,0.5,0,0.5,1
461,0.5,0,0,1,1
462,0.5,0.5,0.5,1,1
463,1,0.5,0,0.5,1
464,1,1,0.5,1,1
465,1,0,0,1,0.5
466,1,0.5,0,1,0.5
467,1,0,0.5,1,1
468,1,0,1,0,1
469,1,0,1,1,0.5
470,0.5,0.5,0,0.5,0
471,1,1,0.5,1,1
