,ciudad,cluster_0,cluster_1,cluster_2,zona,total
0,10150,0.5954545454545455,0.29545454545454547,0.10909090909090909,CUENCA,220
1,50150,0.3953488372093023,0.2248062015503876,0.3798449612403101,LATACUNGA,129
2,70150,0.3655913978494624,0.4032258064516129,0.23118279569892472,MACHALA,186
3,90150,0.21354526606772634,0.3890808569454043,0.3973738769868694,GUAYAQUIL,1447
4,90750,0.35374149659863946,0.35374149659863946,0.2925170068027211,ELOY ALFARO (DURAN),147
5,110150,0.6201550387596899,0.2868217054263566,0.09302325581395349,LOJA,129
6,130850,0.12727272727272726,0.49696969696969695,0.37575757575757573,MANTA,165
7,140150,0.6521739130434783,0.2608695652173913,0.08695652173913043,MACAS,23
8,160150,0.5166666666666667,0.36666666666666664,0.11666666666666667,PUYO,60
9,170150,0.23472099202834368,0.24357838795394154,0.5217006200177148,QUITO,1129
10,180150,0.3384615384615385,0.3923076923076923,0.2692307692307692,AMBATO,130
11,190150,0.4583333333333333,0.4166666666666667,0.125,ZAMORA,24
12,200150,1.0,0.0,0.0,PUERTO BAQUERIZO MORENO,22
13,200350,1.0,0.0,0.0,PUERTO AYORA,24
14,210150,0.3,0.53,0.17,NUEVA LOJA,100
15,220150,0.5138888888888888,0.2777777777777778,0.20833333333333334,PUERTO FRANCISCO DE ORELL,72
16,230150,0.2971698113207547,0.5283018867924528,0.17452830188679244,SANTO DOMINGO DE LOS COLO,212
