valor,categoria
10150,CUENCA
10151,BAÑOS
10152,CUMBE
10153,CHAUCHA
10154,CHECA (JIDCAY)
10155,CHIQUINTAD
10156,LLACAO
10157,MOLLETURO
10158,NULTI
10159,OCTAVIO CORDERO PALACIOS
10160,PACCHA
10161,QUINGEO
10162,RICAURTE
10163,SAN JOAQUIN
10164,SANTA ANA
10165,SAYAUSI
10166,SIDCAY
10167,SININCAY
10168,TARQUI
10169,TURI
10170,VALLE
10171,VICTORIA DEL PORTETE (IRQ
10250,GIRON
10251,ASUNCION
10252,SAN GERARDO
10350,GUALACEO
10352,DANIEL CORDOVA TORAL
10353,JADAN
10354,MARIANO MORENO
10356,REMIGIO CRESPO TORAL (GUL
10357,SAN JUAN
10358,ZHIDMAD
10359,LUIS CORDERO VEGA
10360,SIMON BOLIVAR
10450,NABON
10451,COCHAPATA
10452,EL PROGRESO (CAB. EN ZHOT
10453,LAS NIEVES (CHAYA)
10455,LA PAZ
10550,PAUTE
10552,BULAN (JOSE VICTOR IZQUIE
10553,CHICAN (GUILLERMO ORTEGA)
10554,EL CABO
10556,GUARAINAG
10559,SAN CRISTOBAL (CARLOS ORD
10561,TOMEBAMBA
10562,DUG-DUG
10650,PUCARA
10652,SAN RAFAEL DE SHARUG
10750,SAN FERNANDO
10751,CHUMBLIN
10850,SANTA ISABEL ( CHAGUARURC
10851,ABDON CALDERON (LA UNION
10853,ZHAGLLI (SHAGLLI)
10950,SIGSIG
10951,CUCHIL (CUTCHIL)
10952,GIMA
10953,GUEL
10954,LUDO
10955,SAN BARTOLOME
10956,SAN JOSE DE RARANGA
11050,OÑA
11051,SUSUDEL
11150,CHORDELEG
11151,PRINCIPAL
11152,LA UNION
11153,LUIS GALARZA ORELLANA
11154,SAN MARTIN DE PUZHIO
11250,EL PAN
11253,SAN VICENTE
11350,SEVILLA DE ORO
11351,AMALUZA
11352,PALMAS
11450,GUACHAPALA
11550,CAMILO PONCE ENRIQUEZ
11551,EL CARMEN DE PIJILI
20150,GUARANDA
20151,FACUNDO VELA
20153,JULIO E. MORENO (CATANAHU
20155,SALINAS
20156,SAN LORENZO
20157,SAN SIMON (YACOTO)
20158,SANTAFE (SANTA FE)
20159,SIMIATUG
20160,SAN LUIS DE PAMBIL
20250,CHILLANES
20251,SAN JOSE DEL TAMBO(TAMBO)
20350,SAN JOSE DE CHIMBO
20351,ASUNCION (ASANCOTO)
20353,MAGDALENA (CHAPACOTO)
20354,SAN SEBASTIAN
20355,TELIMBELA
20450,ECHEANDIA
20550,SAN MIGUEL
20551,BALSAPAMBA
20552,BILOVAN
20553,REGULO DE MORA
20554,SAN PABLO
20555,SANTIAGO
20556,SAN VICENTE
20650,CALUMA
20750,LAS NAVES(CABECERA)
30150,AZOGUES
30151,COJITAMBO
30153,GUAPAN
30154,JAVIER LOYOLA (CHUQUIPATA
30155,LUIS CORDERO
30156,PINDILIG
30157,RIVERA
30158,SAN MIGUEL
30160,TADAY
30250,BIBLIAN
30251,NAZON (CAB. EN PAMPA DE D
30252,SAN FRANCISCO DE SAGEO
30253,TURUPAMBA
30254,JERUSALEN
30350,CAÑAR
30351,CHONTAMARCA
30352,CHOROCOPTE
30353,GENERAL MORALES
30354,GUALLETURO
30355,HONORATO VASQUEZ
30356,INGAPIRCA
30357,JUNCAL
30358,SAN ANTONIO
30361,ZHUD
30362,VENTURA
30363,DUCUR
30450,LA TRONCAL
30451,MANUEL J. CALLE
30452,PANCHO NEGRO
30550,EL TAMBO
30650,DELEG
30651,SOLANO
30750,SUSCAL
40150,TULCAN
40151,EL CARMELO (EL PUN)
40153,JULIO ANDRADE (OREJUELA)
40154,MALDONADO
40155,PIOTER
40156,TOBAR DONOSO (LA BOCANA)
40157,TUFIÑO
40158,URBINA (TAYA)
40159,EL CHICAL
40161,SANTA MARTHA DE CUBA
40250,BOLIVAR
40251,GARCIA MORENO
40252,LOS ANDES
40253,MONTE OLIVO
40254,SAN VICENTE DE PUSIR
40255,SAN RAFAEL
40350,EL ANGEL
40351,EL GOALTAL
40352,LA LIBERTAD (ALIZO)
40353,SAN ISIDRO
40450,MIRA (CHONTAHUASI)
40451,CONCEPCION
40452,JIJON Y CAAMAÑO(CAB RIO BLAN
40453,JUAN MONTALVO (SAN IGNACI
40550,SAN GABRIEL
40551,CRISTOBAL COLON
40552,CHITAN DE NAVARRETE
40553,FERNANDEZ SALVADOR
40554,LA PAZ
40555,PIARTAL
40650,HUACA
40651,MARISCAL SUCRE
50150,LATACUNGA
50151,ALAQUES (ALAQUEZ)
50152,BELISARIO QUEVEDO (GUANAI
50153,GUAITACAMA (GUAYTACAMA)
50154,JOSEGUANGO BAJO
50156,MULALO
50157,11 DE NOVIEMBRE (ILINCHIS
50158,POALO
50159,SAN JUAN DE PASTOCALLE
50161,TANICUCHI
50162,TOACASO
50250,LA MANA
50251,GUASAGANDA (CAB.EN GUASAG
50252,PUCAYACU
50350,EL CORAZON
50351,MORASPUNGO
50352,PINLLOPATA
50353,RAMON CAMPAÑA
50450,PUJILI
50451,ANGAMARCA
50453,GUANGAJE
50455,LA VICTORIA
50456,PILALO
50457,TINGO
50458,ZUMBAHUA
50550,SAN MIGUEL
50551,ANTONIO JOSE HOLGUIN
50552,CUSUBAMBA
50553,MULALILLO
50554,MULLIQUINDIL (SANTA ANA)
50555,PANSALEO
50650,SAQUISILI
50651,CANCHAGUA
50652,CHANTILIN
50653,COCHAPAMBA
50750,SIGCHOS
50751,CHUGCHILAN
50752,ISINLIVI
50753,LAS PAMPAS
50754,PALO QUEMADO
60150,RIOBAMBA
60151,CACHA (CAB. EN MACHANGARA
60152,CALPI
60153,CUBIJIES
60154,FLORES
60155,LICAN
60156,LICTO
60157,PUNGALA
60158,PUNIN
60159,QUIMIAG
60160,SAN JUAN
60161,SAN LUIS
60250,ALAUSI
60251,ACHUPALLAS
60253,GUASUNTOS
60254,HUIGRA
60255,MULTITUD
60256,PISTISHI (NARIZ DEL DIABL
60257,PUMALLACTA (PUMAL-LACTA)
60258,SEVILLA
60259,SIBAMBE
60260,TIXAN
60350,VILLA LA UNION (CAJABAMBA
60351,CAÑI
60352,COLUMBE
60353,JUAN DE VELASCO (PANGOR)
60354,SANTIAGO DE QUITO
60450,CHAMBO
60550,CHUNCHI
60551,CAPZOL
60552,COMPUD
60553,GONZOL
60554,LLAGOS
60650,GUAMOTE
60651,CEBADAS
60652,PALMIRA
60750,GUANO
60751,GUANANDO
60752,ILAPO
60753,LA PROVIDENCIA
60754,SAN ANDRES
60755,SAN GERARDO DE PACAICAGUA
60756,SAN ISIDRO DE PATULU
60757,SAN JOSE DEL CHAZO
60758,SANTA FE DE GALAN
60759,VALPARAISO
60850,PALLATANGA
60950,PENIPE
60951,EL ALTAR
60952,MATUS
60953,PUELA
