,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p51a,s101p52a,s101p51b,s101p52b,s101p51c,s101p52c,s101p51d,s101p52d,s101p51e,s101p52e,s101p51f,s101p52f,s101p51g,s101p52g,s101p51h,s101p52h,s101p51i,s101p52i,s101p51j,s101p52j,s101p51k,s101p52k,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
0,urbana,10150,0,0,0,0,0,0,6,6,6,6,6,6,1,30,2,1,60,0,0,3,1,1,3,3,1,7,0,1,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,6,4,4,4,1,1,0,0,0,0,2,0,0,0,0,1,1,1,1,3,1,1,1,1
1,urbana,10150,0,0,0,0,0,0,6,6,6,6,6,6,1,20,20,1,40,10,20,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,2,2,2,2,1,1,1,1,1,0,5,1,1,1,1,1,1,5,1,1,5,1,1,5
2,urbana,10150,0,0,0,1,1,1,6,6,6,1,1,1,1,6,6,1,7,0,7,6,1,6,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,2,3,1,5,2,1
3,urbana,10150,0,0,0,0,0,0,3,3,3,3,3,3,1,7,5,1,20,0,20,5,5,6,3,3,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,3,5,5,1,1,1,1,1,1,0,2,1,1,1,1,1,5,1,1,1,1,3,3,1
4,urbana,10150,1,0,1,1,1,1,6,6,6,6,6,6,1,4,4,1,15,0,15,4,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,3,1,1,3,3,3,2,2,1
5,urbana,10150,0,0,0,0,0,0,6,6,6,6,6,6,1,30,2,1,60,0,0,3,1,1,3,3,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,6,4,4,4,1,1,0,0,0,0,2,0,0,0,0,1,1,1,1,3,1,1,1,1
6,urbana,10150,0,0,0,1,1,1,2,4,4,1,1,1,1,4,4,1,8,4,0,1,1,6,1,1,1,7,0,7,0,7,0,5,8,7,0,7,0,7,0,5,6,7,0,7,0,7,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,2,2,2,1,1,0,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,5,5
7,urbana,10150,0,0,0,0,0,0,6,4,4,4,4,4,1,4,4,1,3,0,3,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,1,2,2,1,0,0,0,0,1,0,3,1,1,1,1,1,1,1,4,1,5,5,1,1
8,urbana,10150,0,0,0,0,0,1,7,6,4,6,4,1,1,3,3,1,5,0,5,4,6,6,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,2,2,1,0,1,1,1,0,0,3,1,1,1,1,2,2,1,3,1,3,1,3,3
9,urbana,10150,1,1,0,1,1,1,6,6,4,6,6,6,1,20,15,1,30,0,10,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,2,2,2,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,5,1,1,1
