area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
urbana,10150,1,1,1,1,1,1,30,28,60,60,60,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,4,1,1,1,1,5,5,5,5,3,1,1,5,5
urbana,10150,1,1,1,1,1,1,20,0,40,30,10,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,5,5,1,5,5,5,1,5,1
urbana,10150,1,1,1,2,2,2,6,0,7,7,0,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,4,2,2,2,2,4,3,4,4,3,1,5,4,5
urbana,10150,1,1,1,1,1,1,7,2,20,20,0,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,4,2,2,2,2,5,1,5,5,5,1,3,3,5
urbana,10150,2,1,2,2,2,2,4,0,15,15,0,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,3,5,5,3,3,3,2,4,5
urbana,10150,1,1,1,1,1,1,30,28,60,60,60,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,4,1,1,1,1,5,5,5,5,3,1,1,5,5
urbana,10150,1,1,1,2,2,2,4,0,8,4,4,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,4,1,1,1,1,5,5,5,5,5,1,1,1,1
urbana,10150,1,1,1,1,1,1,4,0,3,3,0,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,3,2,2,2,2,5,5,5,2,5,5,5,5,5
urbana,10150,1,1,1,1,1,2,3,0,5,5,0,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,3,2,2,2,2,4,4,5,3,5,3,1,3,3
urbana,10150,2,2,1,2,2,2,20,5,30,30,20,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,5,2,5,5,5,5,1,5,5
urbana,10150,1,1,1,1,1,1,2,0,20,20,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,4,5,5,5,1,1,1,1
urbana,10150,2,2,2,2,2,2,0,0,8,8,0,2,2,1,1,1,2,2,2,1,1,2,3,2,2,2,3,2,2,2,2,5,99,99,5,5,1,5,5,1
urbana,10150,2,1,1,2,1,2,0,0,5,1,0,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,4,2,2,2,2,4,5,5,5,4,1,1,5,5
urbana,10150,1,1,1,1,1,1,4,0,5,5,0,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,5,3,5,5,5,5,5,4,3
urbana,10150,2,2,2,2,2,2,2,0,3,3,0,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,4,1,2,2,2,5,1,5,3,5,3,3,3,3
urbana,10150,2,1,1,2,1,2,6,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,3,2,2,3,3,1,3,1,5
urbana,10150,2,1,2,1,2,2,0,0,3,3,0,2,2,1,1,1,2,2,2,1,1,3,2,2,2,2,5,2,2,2,2,4,5,5,3,5,4,1,5,5
urbana,10150,1,1,1,2,2,2,4,0,9,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,4,1,1,4,5
urbana,10150,1,1,1,1,1,1,10,0,8,8,0,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,4,2,2,2,1,5,5,5,5,5,1,5,5,5
urbana,10150,1,1,1,1,1,1,15,0,40,40,20,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,3,5,4,4,4,1,5,5
urbana,10150,1,1,1,1,2,2,8,0,5,5,0,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,4,2,2,2,2,5,5,5,5,5,1,4,5,5
urbana,10150,1,1,1,1,1,1,8,0,30,30,0,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,5,1,5,1
urbana,10150,1,2,2,2,2,2,10,4,50,50,50,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,4,2,2,2,1,5,1,1,1,5,1,1,5,5
urbana,10150,1,1,1,1,1,1,7,0,12,12,12,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,1,5,4
urbana,10150,1,1,1,1,1,1,10,0,22,22,22,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,5,2,1,1,1,5,5,5,5,5,1,1,5,5
urbana,10150,1,1,1,1,1,1,10,0,15,15,0,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,4,2,2,2,2,5,1,5,5,5,1,4,4,5
urbana,10150,1,1,1,1,1,1,5,0,15,15,0,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,5,2,2,2,2,5,2,5,5,5,1,1,4,4
